,region,sub_region,location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
0,Asia,Southern Asia,Afghanistan,2019-12-31,0,0,38928341.0,2.581,1803.987,0.5
1,Asia,Southern Asia,Afghanistan,2020-01-01,0,0,38928341.0,2.581,1803.987,0.5
2,Asia,Southern Asia,Afghanistan,2020-01-02,0,0,38928341.0,2.581,1803.987,0.5
3,Asia,Southern Asia,Afghanistan,2020-01-03,0,0,38928341.0,2.581,1803.987,0.5
4,Asia,Southern Asia,Afghanistan,2020-01-04,0,0,38928341.0,2.581,1803.987,0.5
5,Asia,Southern Asia,Afghanistan,2020-01-05,0,0,38928341.0,2.581,1803.987,0.5
6,Asia,Southern Asia,Afghanistan,2020-01-06,0,0,38928341.0,2.581,1803.987,0.5
7,Asia,Southern Asia,Afghanistan,2020-01-07,0,0,38928341.0,2.581,1803.987,0.5
8,Asia,Southern Asia,Afghanistan,2020-01-08,0,0,38928341.0,2.581,1803.987,0.5
9,Asia,Southern Asia,Afghanistan,2020-01-09,0,0,38928341.0,2.581,1803.987,0.5
10,Asia,Southern Asia,Afghanistan,2020-01-10,0,0,38928341.0,2.581,1803.987,0.5
11,Asia,Southern Asia,Afghanistan,2020-01-11,0,0,38928341.0,2.581,1803.987,0.5
12,Asia,Southern Asia,Afghanistan,2020-01-12,0,0,38928341.0,2.581,1803.987,0.5
13,Asia,Southern Asia,Afghanistan,2020-01-13,0,0,38928341.0,2.581,1803.987,0.5
14,Asia,Southern Asia,Afghanistan,2020-01-14,0,0,38928341.0,2.581,1803.987,0.5
15,Asia,Southern Asia,Afghanistan,2020-01-15,0,0,38928341.0,2.581,1803.987,0.5
16,Asia,Southern Asia,Afghanistan,2020-01-16,0,0,38928341.0,2.581,1803.987,0.5
17,Asia,Southern Asia,Afghanistan,2020-01-17,0,0,38928341.0,2.581,1803.987,0.5
18,Asia,Southern Asia,Afghanistan,2020-01-18,0,0,38928341.0,2.581,1803.987,0.5
19,Asia,Southern Asia,Afghanistan,2020-01-19,0,0,38928341.0,2.581,1803.987,0.5
20,Asia,Southern Asia,Afghanistan,2020-01-20,0,0,38928341.0,2.581,1803.987,0.5
21,Asia,Southern Asia,Afghanistan,2020-01-21,0,0,38928341.0,2.581,1803.987,0.5
22,Asia,Southern Asia,Afghanistan,2020-01-22,0,0,38928341.0,2.581,1803.987,0.5
23,Asia,Southern Asia,Afghanistan,2020-01-23,0,0,38928341.0,2.581,1803.987,0.5
24,Asia,Southern Asia,Afghanistan,2020-01-24,0,0,38928341.0,2.581,1803.987,0.5
25,Asia,Southern Asia,Afghanistan,2020-01-25,0,0,38928341.0,2.581,1803.987,0.5
26,Asia,Southern Asia,Afghanistan,2020-01-26,0,0,38928341.0,2.581,1803.987,0.5
27,Asia,Southern Asia,Afghanistan,2020-01-27,0,0,38928341.0,2.581,1803.987,0.5
28,Asia,Southern Asia,Afghanistan,2020-01-28,0,0,38928341.0,2.581,1803.987,0.5
29,Asia,Southern Asia,Afghanistan,2020-01-29,0,0,38928341.0,2.581,1803.987,0.5
30,Asia,Southern Asia,Afghanistan,2020-01-30,0,0,38928341.0,2.581,1803.987,0.5
31,Asia,Southern Asia,Afghanistan,2020-01-31,0,0,38928341.0,2.581,1803.987,0.5
32,Asia,Southern Asia,Afghanistan,2020-02-01,0,0,38928341.0,2.581,1803.987,0.5
33,Asia,Southern Asia,Afghanistan,2020-02-02,0,0,38928341.0,2.581,1803.987,0.5
34,Asia,Southern Asia,Afghanistan,2020-02-03,0,0,38928341.0,2.581,1803.987,0.5
35,Asia,Southern Asia,Afghanistan,2020-02-04,0,0,38928341.0,2.581,1803.987,0.5
36,Asia,Southern Asia,Afghanistan,2020-02-05,0,0,38928341.0,2.581,1803.987,0.5
37,Asia,Southern Asia,Afghanistan,2020-02-06,0,0,38928341.0,2.581,1803.987,0.5
38,Asia,Southern Asia,Afghanistan,2020-02-07,0,0,38928341.0,2.581,1803.987,0.5
39,Asia,Southern Asia,Afghanistan,2020-02-08,0,0,38928341.0,2.581,1803.987,0.5
40,Asia,Southern Asia,Afghanistan,2020-02-09,0,0,38928341.0,2.581,1803.987,0.5
41,Asia,Southern Asia,Afghanistan,2020-02-10,0,0,38928341.0,2.581,1803.987,0.5
42,Asia,Southern Asia,Afghanistan,2020-02-11,0,0,38928341.0,2.581,1803.987,0.5
43,Asia,Southern Asia,Afghanistan,2020-02-12,0,0,38928341.0,2.581,1803.987,0.5
44,Asia,Southern Asia,Afghanistan,2020-02-13,0,0,38928341.0,2.581,1803.987,0.5
45,Asia,Southern Asia,Afghanistan,2020-02-14,0,0,38928341.0,2.581,1803.987,0.5
46,Asia,Southern Asia,Afghanistan,2020-02-15,0,0,38928341.0,2.581,1803.987,0.5
47,Asia,Southern Asia,Afghanistan,2020-02-16,0,0,38928341.0,2.581,1803.987,0.5
48,Asia,Southern Asia,Afghanistan,2020-02-17,0,0,38928341.0,2.581,1803.987,0.5
49,Asia,Southern Asia,Afghanistan,2020-02-18,0,0,38928341.0,2.581,1803.987,0.5
50,Asia,Southern Asia,Afghanistan,2020-02-19,0,0,38928341.0,2.581,1803.987,0.5
51,Asia,Southern Asia,Afghanistan,2020-02-20,0,0,38928341.0,2.581,1803.987,0.5
52,Asia,Southern Asia,Afghanistan,2020-02-21,0,0,38928341.0,2.581,1803.987,0.5
53,Asia,Southern Asia,Afghanistan,2020-02-22,0,0,38928341.0,2.581,1803.987,0.5
